name,platform,added_on,user_rating,labels,notes,image_url_medium
.Hack//G.U. Last Recode,PlayStation 4,2023-05-28,0,"Halyava, New, Should be best",,https://images.igdb.com/igdb/image/upload/t_720p_2x/co30zq.png
11-11: Memories Retold,PlayStation 4,2023-05-26,0,Droped,,https://images.igdb.com/igdb/image/upload/t_720p_2x/co28r9.png
13 Sentinels: Aegis Rim,PlayStation 4,2023-09-19,15,Droped,халява - типо хорошее бреееед,https://images.igdb.com/igdb/image/upload/t_720p_2x/co2uls.png
2064: Read Only Memories,PlayStation 4,2023-05-27,10,Droped,,https://images.igdb.com/igdb/image/upload/t_720p_2x/co3wwn.png
2Dark,PlayStation 4,2023-05-29,5,Droped,,https://images.igdb.com/igdb/image/upload/t_720p_2x/co22je.png
428: Shibuya Scramble,PlayStation 4,2023-05-28,5,Droped,вродь нічо. халява - мені не зайде реально не зайшла суто текстова,https://images.igdb.com/igdb/image/upload/t_720p_2x/co28rd.png
8-Bit Armies,PlayStation 4,2023-05-30,5,Droped,,https://images.igdb.com/igdb/image/upload/t_720p_2x/dueg9u13zahdkgroqgtl.png
9 Monkeys of Shaolin,PlayStation 4,2023-05-27,15,Droped,,https://images.igdb.com/igdb/image/upload/t_720p_2x/co1xlo.png
99Vidas,PlayStation 4,2023-05-27,5,Droped,,https://images.igdb.com/igdb/image/upload/t_720p_2x/co1ix2.png
A Hat in Time,PlayStation 4,2023-06-21,20,Droped,,https://images.igdb.com/igdb/image/upload/t_720p_2x/co5pl5.png
A King's Tale: Final Fantasy XV,PlayStation 4,2023-05-26,0,"Halyava, New",,https://images.igdb.com/igdb/image/upload/t_720p_2x/co23t0.png
A Little to the Left,PlayStation 5,2026-01-21,0,"New, PS+",,https://images.igdb.com/igdb/image/upload/t_720p_2x/co887d.png
A Plague Tale: Innocence,PlayStation 5,2023-05-27,100,Finished,,https://images.igdb.com/igdb/image/upload/t_720p_2x/co1lat.png
A Plague Tale: Requiem,PlayStation 5,2024-01-04,100,Finished,,https://images.igdb.com/igdb/image/upload/t_720p_2x/co5pwb.png
A Quiet Place: The Road Ahead,PlayStation 5,2026-01-21,0,"New, PS+",,https://images.igdb.com/igdb/image/upload/t_720p_2x/co8gtp.png
A Space for the Unbound,PlayStation 5,2024-12-17,5,Droped,,https://images.igdb.com/igdb/image/upload/t_720p_2x/co62kn.png
AI: The Somnium Files,PlayStation 4,2023-05-28,25,Droped,,https://images.igdb.com/igdb/image/upload/t_720p_2x/co1mjy.png
AO Tennis 2,PlayStation 4,2023-05-30,5,Droped,,https://images.igdb.com/igdb/image/upload/t_720p_2x/co1xwu.png
APB Reloaded,PlayStation 4,2023-05-31,10,Droped,,https://images.igdb.com/igdb/image/upload/t_720p_2x/co1tc5.png
Abiotic Factor,PlayStation 5,2025-07-31,15,Droped,,https://images.igdb.com/igdb/image/upload/t_720p_2x/co85d2.png
Absolute Tactics: Daughters of Mercy,PlayStation 5,2025-11-26,30,Droped,,https://images.igdb.com/igdb/image/upload/t_720p_2x/co31ug.png
Absolver,PlayStation 4,2023-05-27,20,Droped,,https://images.igdb.com/igdb/image/upload/t_720p_2x/co45wq.png
Abzu,PlayStation 4,2023-05-29,5,Droped,,https://images.igdb.com/igdb/image/upload/t_720p_2x/co28sy.png
Ace Combat 7: Skies Unknown,PlayStation 4,2023-05-30,5,Droped,,https://images.igdb.com/igdb/image/upload/t_720p_2x/co1ilk.png
Ace of Seafood,PlayStation 4,2023-05-30,10,Droped,,https://images.igdb.com/igdb/image/upload/t_720p_2x/co1tjm.png
Adam's Venture: Origins,PlayStation 4,2023-05-26,0,"Halyava, New",,https://images.igdb.com/igdb/image/upload/t_720p_2x/co229k.png
Adr1ft,PlayStation 4,2023-05-30,5,Droped,,https://images.igdb.com/igdb/image/upload/t_720p_2x/co3wo2.png
Adventure Time: Pirates of the Enchiridion,PlayStation 4,2023-05-30,10,Droped,,https://images.igdb.com/igdb/image/upload/t_720p_2x/co3wma.png
After Us,PlayStation 5,2024-06-18,35,Droped,,https://images.igdb.com/igdb/image/upload/t_720p_2x/co5val.png
Against the Storm,PC (Microsoft Windows),2024-01-29,0,New,,https://images.igdb.com/igdb/image/upload/t_720p_2x/co7j13.png
Age of Wonders 4,PC (Microsoft Windows),2025-02-09,70,Finished,,https://images.igdb.com/igdb/image/upload/t_720p_2x/co612o.png
Age of Wonders: Planetfall,PlayStation 4,2023-05-26,50,Droped,,https://images.igdb.com/igdb/image/upload/t_720p_2x/co1r6n.png
Age of Wonders: Planetfall - Invasions,PC (Microsoft Windows),2025-02-09,30,Droped,,https://images.igdb.com/igdb/image/upload/t_720p_2x/co2469.png
Agents of Mayhem,PlayStation 4,2023-05-26,5,Droped,,https://images.igdb.com/igdb/image/upload/t_720p_2x/co22mh.png
Air Conflicts: Pacific Carriers,PlayStation 4,2024-12-13,10,Droped,,https://images.igdb.com/igdb/image/upload/t_720p_2x/co5dx1.png
Alan Wake II,PlayStation 5,2025-10-10,0,"My, New",,https://images.igdb.com/igdb/image/upload/t_720p_2x/co6jar.png
Alan Wake Remastered,PlayStation 5,2023-07-07,25,Droped,древня. хоча і з оновленою графікою,https://images.igdb.com/igdb/image/upload/t_720p_2x/co65aa.png
Alaskan Road Truckers,PlayStation 5,2025-11-22,20,Droped,,https://images.igdb.com/igdb/image/upload/t_720p_2x/co6lv7.png
Alex Kidd in Miracle World DX,PlayStation 4,2023-05-30,5,Droped,,https://images.igdb.com/igdb/image/upload/t_720p_2x/co3c4f.png
Alien: Isolation,PlayStation 4,2023-10-18,35,Droped,,https://images.igdb.com/igdb/image/upload/t_720p_2x/co1vzu.png
Alienation,PlayStation 4,2023-05-28,5,Droped,,https://images.igdb.com/igdb/image/upload/t_720p_2x/co1nhe.png
Aliens: Dark Descent,PlayStation 5,2024-12-03,25,Droped,щось мутне,https://images.igdb.com/igdb/image/upload/t_720p_2x/co6liu.png
Aliens: Fireteam Elite,PlayStation 5,2023-11-08,0,"My, New",,https://images.igdb.com/igdb/image/upload/t_720p_2x/co3gu0.png
Alisa,PlayStation 5,2025-11-29,5,,,https://images.igdb.com/igdb/image/upload/t_720p_2x/co2jtu.png
All Elite Wrestling: Fight Forever,PlayStation 5,2024-06-13,10,Droped,,https://images.igdb.com/igdb/image/upload/t_720p_2x/co6ngj.png
Alone in the Dark,PlayStation 5,2025-06-04,0,"My, New",,https://images.igdb.com/igdb/image/upload/t_720p_2x/co52t8.png
Amnesia: Collection,PlayStation 4,2023-05-26,0,"Halyava, New",,https://images.igdb.com/igdb/image/upload/t_720p_2x/co1h9a.png
Among Us,PlayStation 5,2024-07-02,10,Droped,,https://images.igdb.com/igdb/image/upload/t_720p_2x/co6kqt.png
Amplitude,PlayStation 4,2023-05-27,5,Droped,,https://images.igdb.com/igdb/image/upload/t_720p_2x/co1wse.png
Animal Well,PlayStation 5,2024-05-12,10,Droped,,https://images.igdb.com/igdb/image/upload/t_720p_2x/co4hdh.png
Anno 1800,PC (Microsoft Windows),2024-06-18,20,Droped,,https://images.igdb.com/igdb/image/upload/t_720p_2x/co1r67.png
Anno: Mutationem,PlayStation 5,2025-01-25,10,Droped,,https://images.igdb.com/igdb/image/upload/t_720p_2x/co6vn1.png
Anodyne,PlayStation 4,2023-05-30,5,Droped,,https://images.igdb.com/igdb/image/upload/t_720p_2x/co244r.png
Another Crab's Treasure,PlayStation 5,2025-05-30,10,Droped,,https://images.igdb.com/igdb/image/upload/t_720p_2x/co6mrs.png
Another World,PlayStation 4,2023-05-27,5,Droped,,https://images.igdb.com/igdb/image/upload/t_720p_2x/co1x7k.png
Apex Legends,PlayStation 4,2023-05-31,20,Droped,,https://images.igdb.com/igdb/image/upload/t_720p_2x/co1wzo.png
Aragami,PlayStation 4,2023-05-27,15,Droped,не дуже зрозуміло. вродь як херь,https://images.igdb.com/igdb/image/upload/t_720p_2x/co1ph6.png
Arc the Lad: Twilight of the Spirits,PlayStation 4,2025-07-12,5,Droped,,https://images.igdb.com/igdb/image/upload/t_720p_2x/co1osr.png
Arcade Paradise,PlayStation 5,2025-03-18,10,Droped,,https://images.igdb.com/igdb/image/upload/t_720p_2x/co2wvp.png
Arcadegeddon,PlayStation 4,2023-05-27,5,Droped,,https://images.igdb.com/igdb/image/upload/t_720p_2x/co4yeg.png
Ark: Survival Evolved,PlayStation 4,2023-05-27,5,Droped,,https://images.igdb.com/igdb/image/upload/t_720p_2x/co493k.png
Art of Rally,PlayStation 5,2026-01-21,0,"New, PS+",,https://images.igdb.com/igdb/image/upload/t_720p_2x/co2gys.png
As Dusk Falls,PlayStation 5,2025-10-23,15,Droped,,https://images.igdb.com/igdb/image/upload/t_720p_2x/co4v2t.png
Ash of Gods: Redemption,PlayStation 4,2023-05-28,65,Finished,,https://images.igdb.com/igdb/image/upload/t_720p_2x/co1ye1.png
Ashen,PlayStation 4,2023-05-28,15,Droped,,https://images.igdb.com/igdb/image/upload/t_720p_2x/co4o0i.png
Assassin's Creed Chronicles: China,PlayStation 4,2023-05-28,25,Droped,,https://images.igdb.com/igdb/image/upload/t_720p_2x/co1qy6.png
Assassin's Creed Chronicles: India,PlayStation 4,2023-05-28,25,Droped,,https://images.igdb.com/igdb/image/upload/t_720p_2x/co1qy4.png
Assassin's Creed Chronicles: Russia,PlayStation 4,2023-05-28,15,Droped,,https://images.igdb.com/igdb/image/upload/t_720p_2x/co1qy5.png
Assassin's Creed III Remastered,PlayStation 4,2023-05-28,45,Droped,древня стелс,https://images.igdb.com/igdb/image/upload/t_720p_2x/co65nm.png
Assassin's Creed III: Liberation - Remastered,PlayStation 4,2023-08-02,45,Droped,древня. стелс,https://images.igdb.com/igdb/image/upload/t_720p_2x/co3u63.png
Assassin's Creed IV Black Flag,PlayStation 4,2023-05-28,25,Droped,старе. ужасне управління,https://images.igdb.com/igdb/image/upload/t_720p_2x/co4qfn.png
Assassin's Creed Mirage,PlayStation 4,2025-12-22,0,"New, PS+",,https://images.igdb.com/igdb/image/upload/t_720p_2x/co57sj.png
Assassin's Creed Odyssey,PlayStation 4,2023-05-28,70,Finished,,https://images.igdb.com/igdb/image/upload/t_720p_2x/co2nul.png
Assassin's Creed Origins,PlayStation 4,2023-05-28,70,Finished,,https://images.igdb.com/igdb/image/upload/t_720p_2x/co1rbe.png
